,Unnamed: 0,Litres,PDF,Wiki,Имя,Short name,Отчество,Фамилия,Название,Ссылка,Score,Авт. Права,Дата смерти,Wiki id,Авт. права wiki
44,44,0,0,1,И.,И,А.,Крылов,Любопытный,ru.wikisource.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BE%D0%BF%D1%8B%D1%82%D0%BD%D1%8B%D0%B9_(%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2),1,0,"(9, 11, 1844)",Q191480,0
45,45,0,0,1,И.,И,А.,Крылов,Две бочки,ru.wikisource.org/wiki/%D0%94%D0%B2%D0%B5_%D0%B1%D0%BE%D1%87%D0%BA%D0%B8,1,0,"(9, 11, 1844)",Q191480,0
46,46,0,0,1,И.,И,А.,Крылов,Волк на псарне,ru.wikisource.org/wiki/%D0%92%D0%BE%D0%BB%D0%BA_%D0%BD%D0%B0_%D0%BF%D1%81%D0%B0%D1%80%D0%BD%D0%B5,1,0,"(9, 11, 1844)",Q191480,0
47,47,0,0,1,И.,И,А.,Крылов,Осёл и соловей,ru.wikisource.org/wiki/%D0%9E%D1%81%D1%91%D0%BB_%D0%B8_%D1%81%D0%BE%D0%BB%D0%BE%D0%B2%D0%B5%D0%B9,1,0,"(9, 11, 1844)",Q191480,0
48,48,0,0,1,И.,И,А.,Крылов,"Лягушки, просящие царя","ru.wikisource.org/wiki/%D0%9B%D1%8F%D0%B3%D1%83%D1%88%D0%BA%D0%B8,_%D0%BF%D1%80%D0%BE%D1%81%D1%8F%D1%89%D0%B8%D0%B5_%D1%86%D0%B0%D1%80%D1%8F",1,0,"(9, 11, 1844)",Q191480,0
49,49,0,0,1,И.,И,А.,Крылов,Слон и Моська,ru.wikisource.org/wiki/%D0%A1%D0%BB%D0%BE%D0%BD_%D0%B8_%D0%9C%D0%BE%D1%81%D1%8C%D0%BA%D0%B0,1,0,"(9, 11, 1844)",Q191480,0
50,50,0,0,1,И.,И,А.,Крылов,Петух и Жемчужное зерно,ru.wikisource.org/wiki/%D0%9F%D0%B5%D1%82%D1%83%D1%85_%D0%B8_%D0%96%D0%B5%D0%BC%D1%87%D1%83%D0%B6%D0%BD%D0%BE%D0%B5_%D0%B7%D0%B5%D1%80%D0%BD%D0%BE,1,0,"(9, 11, 1844)",Q191480,0
51,51,0,0,1,Я.,Я,П.,Полонский,По горам две хмурых тучи,ru.wikisource.org/wiki/%D0%9F%D0%BE_%D0%B3%D0%BE%D1%80%D0%B0%D0%BC_%D0%B4%D0%B2%D0%B5_%D1%85%D0%BC%D1%83%D1%80%D1%8B%D1%85_%D1%82%D1%83%D1%87%D0%B8,1,0,"(30, 10, 1898)",Q2299317,0
52,52,0,0,1,В.,В,А.,Жуковский,Светлана,ru.wikisource.org/wiki/%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0_(%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),1,0,"(24, 4, 1852)",Q157623,0
53,53,0,0,1,В.,В,А.,Жуковский,Кубок,ru.wikisource.org/wiki/%D0%9A%D1%83%D0%B1%D0%BE%D0%BA_(%D0%A8%D0%B8%D0%BB%D0%BB%D0%B5%D1%80;_%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),1,0,"(24, 4, 1852)",Q157623,0
