;Имя;Отчество;Фамилия;Название;PDF;Wiki;Ссылка
104;А.;А.;Фет;Какая грусть! Конец аллеи…;0;1;ru.wikisource.org/wiki/%D0%9A%D0%B0%D0%BA%D0%B0%D1%8F_%D0%B3%D1%80%D1%83%D1%81%D1%82%D1%8C!_%D0%9A%D0%BE%D0%BD%D0%B5%D1%86_%D0%B0%D0%BB%D0%BB%D0%B5%D0%B8_(%D0%A4%D0%B5%D1%82)
105;А.;А.;Фет;Жизнь пронеслась без явного следа…;0;1;ru.wikisource.org/wiki/%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%BF%D1%80%D0%BE%D0%BD%D0%B5%D1%81%D0%BB%D0%B0%D1%81%D1%8C_%D0%B1%D0%B5%D0%B7_%D1%8F%D0%B2%D0%BD%D0%BE%D0%B3%D0%BE_%D1%81%D0%BB%D0%B5%D0%B4%D0%B0_(%D0%A4%D0%B5%D1%82)
106;А.;А.;Фет;Цветы;0;1;ru.wikisource.org/wiki/%D0%A6%D0%B2%D0%B5%D1%82%D1%8B_(%D0%A4%D0%B5%D1%82)
107;А.;А.;Фет;Ярким солнцем в лесу пламенеет…;0;1;ru.wikisource.org/wiki/%D0%AF%D1%80%D0%BA%D0%B8%D0%BC_%D1%81%D0%BE%D0%BB%D0%BD%D1%86%D0%B5%D0%BC_%D0%B2_%D0%BB%D0%B5%D1%81%D1%83_%D0%BF%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D0%B5%D0%B5%D1%82_(%D0%A4%D0%B5%D1%82)
108;А.;А.;Фет;Зреет рожь;0;1;ru.wikisource.org/wiki/%D0%97%D1%80%D0%B5%D0%B5%D1%82_%D1%80%D0%BE%D0%B6%D1%8C_(%D0%A4%D0%B5%D1%82)
109;А.;А.;Фет;Я тебе ничего не скажу…;0;1;ru.wikisource.org/wiki/%D0%AF_%D1%82%D0%B5%D0%B1%D0%B5_%D0%BD%D0%B8%D1%87%D0%B5%D0%B3%D0%BE_%D0%BD%D0%B5_%D1%81%D0%BA%D0%B0%D0%B6%D1%83_(%D0%A4%D0%B5%D1%82)
110;А.;А.;Фет;Добро и зло;0;1;ru.wikisource.org/wiki/%D0%94%D0%BE%D0%B1%D1%80%D0%BE_%D0%B8_%D0%B7%D0%BB%D0%BE_(%D0%A4%D0%B5%D1%82)
111;А.;А.;Фет;Заря прощается с землёю…;0;1;ru.wikisource.org/wiki/%D0%97%D0%B0%D1%80%D1%8F_%D0%BF%D1%80%D0%BE%D1%89%D0%B0%D0%B5%D1%82%D1%81%D1%8F_%D1%81_%D0%B7%D0%B5%D0%BC%D0%BB%D1%91%D1%8E_(%D0%A4%D0%B5%D1%82)
112;А.;А.;Фет;Это утро, радость эта…;0;1;ru.wikisource.org/wiki/%D0%AD%D1%82%D0%BE_%D1%83%D1%82%D1%80%D0%BE,_%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C_%D1%8D%D1%82%D0%B0_(%D0%A4%D0%B5%D1%82)
113;А.;А.;Фет;Ласточки пропали;0;1;ru.wikisource.org/wiki/%D0%9B%D0%B0%D1%81%D1%82%D0%BE%D1%87%D0%BA%D0%B8_%D0%BF%D1%80%D0%BE%D0%BF%D0%B0%D0%BB%D0%B8_(%D0%A4%D0%B5%D1%82)
114;А.;А.;Фет;;1;0;
115;А.;А.;Фет; ;1;0;
116;А.;А.;Фет; Лирика;1;0;
117;А.;А.;Фет; Стихотворения;1;0;
118;М.;Е.;Салтыков-Щедрин;Медведь на воеводстве;1;1;ru.wikisource.org/wiki/%D0%9C%D0%B5%D0%B4%D0%B2%D0%B5%D0%B4%D1%8C_%D0%BD%D0%B0_%D0%B2%D0%BE%D0%B5%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%B5
119;М.;Е.;Салтыков-Щедрин;История одного города;1;1;ru.wikisource.org/wiki/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0
120;М.;Е.;Салтыков-Щедрин;Вяленая вобла;1;1;ru.wikisource.org/wiki/%D0%92%D1%8F%D0%BB%D0%B5%D0%BD%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B1%D0%BB%D0%B0
121;М.;Е.;Салтыков-Щедрин;Дикий помещик;0;1;ru.wikisource.org/wiki/%D0%94%D0%B8%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D0%BC%D0%B5%D1%89%D0%B8%D0%BA
122;М.;Е.;Салтыков-Щедрин;Повесть о том, как один мужик двух генералов прокормил;0;1;ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%BE_%D1%82%D0%BE%D0%BC,_%D0%BA%D0%B0%D0%BA_%D0%BE%D0%B4%D0%B8%D0%BD_%D0%BC%D1%83%D0%B6%D0%B8%D0%BA_%D0%B4%D0%B2%D1%83%D1%85_%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D0%BE%D0%B2_%D0%BF%D1%80%D0%BE%D0%BA%D0%BE%D1%80%D0%BC%D0%B8%D0%BB
123;М.;Е.;Салтыков-Щедрин;;1;0;
124;М.;Е.;Салтыков-Щедрин; Сказки;1;0;
125;М.;Е.;Салтыков-Щедрин;Коняга;1;0;
126;М.;Е.;Салтыков-Щедрин;Господа Головлевы;1;0;
127;М.;Е.;Салтыков-Щедрин;Верный Трезор;1;0;
128;М.;Е.;Салтыков-Щедрин;Орелмеценат;1;0;
129;М.;Е.;Салтыков-Щедрин;Пошехонская старина;1;0;
130;М.;Е.;Салтыков-Щедрин;Премудрый пескарь;1;0;
131;Д.;И.;Фонвизин;Недоросль;1;0;
132;Д.;И.;Фонвизин;Придворная грамматика;1;0;
133;М.;А.;Шолохов;Судьба человека;1;1;
134;М.;А.;Шолохов;Тихий Дон;0;1;
